year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,total_sales,transfer_ratio,demand,date
2020,7,DIAGEO NORTH AMERICA INC,50739,SMIRNOFF SPARKLING SELTZER ROSE 4/6 PK CAN 12 OZ,BEER,17.0,20.0,115.0,132.0,0.15151515151515152,152.0,2020-07-01
2020,7,REPUBLIC NATIONAL DISTRIBUTING CO,50741,GUYOT CREME DE CASSIS - 750ML,LIQUOR,3.45,4.0,0.0,3.45,1.1594202898550725,7.45,2020-07-01
2020,7,MARK ANTHONY BRANDS INC,50744,WHITE CLAW VARIETY PACK #1  2/12PK 12.OZ CAN,BEER,361.5,67.0,2067.5,2429.0,0.027583367641004528,2496.0,2020-07-01
2020,7,DELMAR BREWING COMPANY LLC,50746,EVOLUTION LOT #3 IPA  2/12PK CANS 12OZ,BEER,14.45,11.0,144.0,158.45,0.06942253076680341,169.45,2020-07-01
2020,7,WILLIAM GRANT AND SONS INC,50750,HENDRICK'S GIN - 750ML,LIQUOR,37.16,38.0,4.0,41.16,0.9232264334305151,79.16,2020-07-01
2020,7,BOSTON BEER CORPORATION,50759,SAM ADAMS NEW ENGLAND IPA 2/12PK 12OZ CANS,BEER,6.7,12.0,165.0,171.7,0.06988934187536401,183.7,2020-07-01
2020,7,MILLER BREWING COMPANY,50763,COORS LIGHT 1/15PK 16OZ ALNR,BEER,0.0,0.0,13.0,13.0,0.0,13.0,2020-07-01
2020,7,CROWN IMPORTS,50767,CORONA FAMILIAR 4/6PK 12OZ NR,BEER,6.0,1.0,41.0,47.0,0.02127659574468085,48.0,2020-07-01
2020,7,PERNOD RICARD USA LLC,50768,H WALKER TRIPLE SEC 30P - 1L,LIQUOR,55.39,64.0,8.0,63.39,1.0096229689225429,127.39,2020-07-01
2020,7,CROWN IMPORTS,50769,CORONA FAMILIAR 2/12PK 12OZ NR,BEER,2.0,1.0,223.5,225.5,0.004434589800443459,226.5,2020-07-01
2020,7,SIERRA NEVADA BREWING CO,50775,SIERRA NEVADA HOP BULLET DIPA 4/6PK 12OZ CAN,BEER,23.75,24.0,81.75,105.5,0.22748815165876776,129.5,2020-07-01
2020,7,CAMPARI AMERICA LLC,50776,FRANGELICO LIQUEUR - 750ML,LIQUOR,7.51,12.0,0.0,7.51,1.5978695073235687,19.509999999999998,2020-07-01
2020,7,ANHEUSER BUSCH INC,50779,MICHELOB ULTRA 1/15PK 25OZ CAN,BEER,0.0,0.0,91.0,91.0,0.0,91.0,2020-07-01
2020,7,ANHEUSER BUSCH INC,50780,MICHELOB ULTRA 2/12PK 12OZ SLEEK CAN,BEER,0.0,0.0,445.0,445.0,0.0,445.0,2020-07-01
2020,7,ANHEUSER BUSCH INC,50781,NATTY DADDY 2/15PK 12OZ CAN,BEER,0.0,0.0,592.5,592.5,0.0,592.5,2020-07-01
2020,7,CAMPARI AMERICA LLC,50784,FRANGELICO LIQUEUR - 375ML,LIQUOR,0.08,0.0,0.0,0.08,0.0,0.08,2020-07-01
2020,7,CLIPPER CITY BREWING CO,50788,HEAVY SEAS DOUBLE CANNON 15.5 GAL1/2 KEG,KEGS,0.0,0.0,1.0,1.0,0.0,1.0,2020-07-01
2020,7,CLIPPER CITY BREWING CO,50790,HEAVY SEAS LOOSE CANNON 15.5 GAL 1/2 KEG,KEGS,0.0,0.0,14.0,14.0,0.0,14.0,2020-07-01
2020,7,PERNOD RICARD USA LLC,50792,MALIBU RUM - PINEAPPLE LIQUEUR - 750ML,LIQUOR,2.25,0.0,0.0,2.25,0.0,2.25,2020-07-01
2020,7,PERNOD RICARD USA LLC,50806,KENWOOD SONOMA  P/NOIR - 750ML,WINE,11.88,7.0,2.0,13.88,0.5043227665706052,20.880000000000003,2020-07-01
2020,7,BACKUP BEVERAGE,50815,VELTINS PILS 6/4 16.9OZ CANS,BEER,0.0,0.0,3.0,3.0,0.0,3.0,2020-07-01
2020,7,MONSIEUR TOUTON SELECTION,50849,LES LAUZERAIES TAVEL ROSE - 750ML,WINE,0.0,0.0,3.0,3.0,0.0,3.0,2020-07-01
2020,7,RIGHT FORWARD LLC,50869,RIGHT PROPER RAISED BY WOLVES 4/6 CANS,BEER,0.0,0.0,30.75,30.75,0.0,30.75,2020-07-01
2020,7,LEGENDS LTD,50871,LAGUNITAS SUMPIN EASY 2/12 CANS,BEER,9.5,10.0,66.0,75.5,0.13245033112582782,85.5,2020-07-01
2020,7,BACKUP BEVERAGE,50876,SCHLAFLY IPA 4/6 NR,BEER,0.0,0.0,11.0,11.0,0.0,11.0,2020-07-01
2020,7,BACKUP BEVERAGE,50897,JACKS PEAR CIDER 4/6 CANS,BEER,0.0,0.0,6.0,6.0,0.0,6.0,2020-07-01
2020,7,BUCK DISTRIBUTING COMPANY INC,50921,STONE TANGERINE EXPRESS 4/6 CAN,BEER,0.0,0.0,36.0,36.0,0.0,36.0,2020-07-01
2020,7,LEGENDS LTD,50941,BLACK BUTTON APPLEPIE MOONSHINE 750ML,LIQUOR,0.4,0.0,0.0,0.4,0.0,0.4,2020-07-01
2020,7,PERNOD RICARD USA LLC,50954,MALIBU RUM - MANGO - 750ML,LIQUOR,11.46,14.0,7.0,18.46,0.7583965330444203,32.46,2020-07-01
2020,7,ANHEUSER BUSCH INC,5096,BUD 30PK CAN - 12OZ,BEER,343.0,264.0,3848.97,4191.969999999999,0.06297754993475622,4455.969999999999,2020-07-01
2020,7,DIAGEO NORTH AMERICA INC,50962,BAILEYS IRISH CREAM - 1.75L,LIQUOR,39.83,37.0,0.0,39.83,0.928948029123776,76.83,2020-07-01
2020,7,DIAGEO NORTH AMERICA INC,50970,BAILEYS IRISH CREAM - 750ML,LIQUOR,73.14,71.0,0.0,73.14,0.9707410445720536,144.14,2020-07-01
2020,7,DIAGEO NORTH AMERICA INC,50997,BAILEYS IRISH CREAM - 375ML,LIQUOR,2.72,5.0,0.0,2.72,1.838235294117647,7.720000000000001,2020-07-01
2020,7,LEGENDS LTD,5100,AUGUSTINERBRAU LT 4/6 NR - 12OZ,BEER,0.0,0.0,7.0,7.0,0.0,7.0,2020-07-01
2020,7,HEINEKEN USA,51003,HEINEKEN 0.0 NA 4/6PK 11.2.OZ NR,BEER,73.7,68.0,527.0,600.7,0.11320126519061094,668.7,2020-07-01
2020,7,BROWN-FORMAN BEVERAGES WORLDWIDE,51004,CHAMBORD ROYALE LIQUEUR - 750ML,LIQUOR,19.41,21.0,2.0,21.41,0.9808500700607193,42.41,2020-07-01
2020,7,BOSTON BEER CORPORATION,51005,ANGRY ORCHARD VARIETY 2/12PK 12OZ SLIM CANS,BEER,0.5,0.0,0.0,0.5,0.0,0.5,2020-07-01
2020,7,BOSTON BEER CORPORATION,51006,TRULY TROPICAL VARIETY 2/12PK 120Z SLIM CANS,BEER,0.0,0.0,313.0,313.0,0.0,313.0,2020-07-01
2020,7,BOSTON BEER CORPORATION,51007,TRULY BLUEBERRY ACAI 4/6PK 12OZ SLIM CANS,BEER,17.82,14.0,56.75,74.57,0.18774306021188147,88.57,2020-07-01
2020,7,BOSTON BEER CORPORATION,51008,TRULY BLACK CHERRY 4/6PK 12OZ SLIM CANS,BEER,19.28,0.0,76.0,95.28,0.0,95.28,2020-07-01
2020,7,ANHEUSER BUSCH INC,51011,BON & VIV SPIKED SELTZER VARIETY 2/12PK 12.0Z CAN,BEER,2.5,0.0,162.0,164.5,0.0,164.5,2020-07-01
2020,7,ANHEUSER BUSCH INC,51013,BON & VIV SPIKED SELTZER VARIETY 4/6PK 12OZ CAN,BEER,0.0,0.0,77.0,77.0,0.0,77.0,2020-07-01
2020,7,ANHEUSER BUSCH INC,51019,DEVILS BACKBONE HIBISCUS HARD LEMONADE 4/6PK 12.OZ NR,BEER,1.5,4.0,21.0,22.5,0.17777777777777778,26.5,2020-07-01
2020,7,CROWN IMPORTS,51022,CORONA FAMILIAR 24/12OZ LOOSE-NR,BEER,0.0,0.0,5.0,5.0,0.0,5.0,2020-07-01
2020,7,MILLER BREWING COMPANY,51024,HENRY'S HARD SPARKLING VP 4/6PK 12OZ CAN,BEER,0.0,0.0,1.0,1.0,0.0,1.0,2020-07-01
2020,7,MILLER BREWING COMPANY,51026,STEEL RESERVE ALLOY TROPIC STORM 12PK 24OZ CAN,BEER,0.0,0.0,94.83,94.83,0.0,94.83,2020-07-01
2020,7,SIERRA NEVADA BREWING CO,51027,SIERRA NEVADA SOUTHERN GOTHIC 4/6PK 12OZ CAN,BEER,7.75,4.0,13.0,20.75,0.1927710843373494,24.75,2020-07-01
2020,7,SIERRA NEVADA BREWING CO,51028,SIERRA NEVADA SIERRAVEZA 4/6PK 12OZ CAN,BEER,8.0,12.0,25.0,33.0,0.36363636363636365,45.0,2020-07-01
2020,7,FLYING DOG BREWERY LLLP,51029,FLYING DOG THUNDERPEEL HAZY IPA 4/6PK 12OZ CAN,BEER,56.25,43.0,283.5,339.75,0.12656364974245768,382.75,2020-07-01
2020,7,ANHEUSER BUSCH INC,51032,GOOSE ISLAND NEXT COAST IPA 4/6PK 12OZ CAN,BEER,0.0,0.0,28.0,28.0,0.0,28.0,2020-07-01
2020,7,CLIPPER CITY BREWING CO,51033,HEAVY SEAS CANNON CREW 2/12PK 12OZ CAN,BEER,0.0,0.0,20.0,20.0,0.0,20.0,2020-07-01
